seconds_elapsed,latitude,longitude,speed
10,44.881763,-93.319957,1.127
20,44.881816,-93.319905,0.598
30,44.881732,-93.319683,0.467471
40,44.881671,-93.31947,0.537231
50,44.881725,-93.319371,0.910173
60,44.881783,-93.319212,0.799891
70,44.881795,-93.319086,0.80881
80,44.88176,-93.318928,1.283062
90,44.881761,-93.318738,1.080979
100,44.881741,-93.318577,1.257102
110,44.881729,-93.318408,1.074828
120,44.881727,-93.318254,1.071289
130,44.881729,-93.318077,1.22594
140,44.88172,-93.317921,1.095405
150,44.881682,-93.317781,1.300613
160,44.881684,-93.317577,1.525832
170,44.881681,-93.317368,1.482125
180,44.881677,-93.317204,1.333597
190,44.881674,-93.317035,1.188953
200,44.881677,-93.31685,1.338591
210,44.881677,-93.316682,1.033524
220,44.881675,-93.31649,1.4763
230,44.881684,-93.316396,0.691613
240,44.881677,-93.316242,1.208185
250,44.881671,-93.316072,0.987531
260,44.88167,-93.31592,0.963107
270,44.881672,-93.31575,0.985738
280,44.881661,-93.315561,1.229438
290,44.881658,-93.315375,1.217636
300,44.881664,-93.315211,1.252542
310,44.881664,-93.315016,1.364517
320,44.881663,-93.314836,1.078849
330,44.881669,-93.314674,1.182354
340,44.881668,-93.314486,1.266556
350,44.881673,-93.314299,1.365676
360,44.881671,-93.314119,1.300018
370,44.881666,-93.313928,1.458273
380,44.88167,-93.313729,1.490208
390,44.881659,-93.313522,1.412682
400,44.881658,-93.313324,1.511939
410,44.881658,-93.31313,1.355362
420,44.881656,-93.312939,1.400165
430,44.881649,-93.312739,1.450834
440,44.881658,-93.312559,1.445176
450,44.881648,-93.312366,1.19562
460,44.881644,-93.312192,0.893563
470,44.881641,-93.312029,0.924889
480,44.881644,-93.311832,1.268166
490,44.881645,-93.311679,1.221587
500,44.881654,-93.311542,1.173811
510,44.881652,-93.311365,1.415224
520,44.881644,-93.311181,1.242447
530,44.881639,-93.31099,1.179713
540,44.88163,-93.310804,1.452312
550,44.881622,-93.310627,1.166238
560,44.88162,-93.310435,1.370528
570,44.881626,-93.310261,1.368454
580,44.881629,-93.310077,1.298237
590,44.881644,-93.309903,1.315517
600,44.881649,-93.309735,1.148862
610,44.881632,-93.309539,1.257205
620,44.881639,-93.309348,1.37158
630,44.881652,-93.30918,1.348933
640,44.881647,-93.308988,1.472808
650,44.881634,-93.308804,1.221548
660,44.881563,-93.308806,1.023801
670,44.88144,-93.308829,1.299561
680,44.881309,-93.308834,1.295379
690,44.881183,-93.308815,1.104736
700,44.881051,-93.308844,1.374994
710,44.880909,-93.308853,1.468832
720,44.880805,-93.308845,1.151771
730,44.880695,-93.308846,1.026087
740,44.88057,-93.308823,1.17475
750,44.880458,-93.30881,1.167522
760,44.880329,-93.308841,1.400176
770,44.880206,-93.308908,1.076662
780,44.880112,-93.308967,0.843597
790,44.880052,-93.30914,1.185132
800,44.879994,-93.3093,0.830075
810,44.87995,-93.309427,0.999569
820,44.879972,-93.30962,1.098442
830,44.879989,-93.3098,1.297529
840,44.87999,-93.309965,1.008872
850,44.879987,-93.310127,0.974199
860,44.879974,-93.310291,1.08774
870,44.879975,-93.310443,1.133757
880,44.879977,-93.310634,1.23189
890,44.879963,-93.310826,1.168092
900,44.879969,-93.310989,1.25563
910,44.879975,-93.31117,1.246993
920,44.879979,-93.31134,1.139488
930,44.879987,-93.311501,1.258364
940,44.879996,-93.311677,1.337658
950,44.879989,-93.311866,1.273308
960,44.879986,-93.312053,1.29869
970,44.879983,-93.312238,1.279017
980,44.879983,-93.312428,1.150412
990,44.879987,-93.312608,1.319723
1000,44.879988,-93.31279,1.264294
1010,44.879987,-93.312988,1.195466
1020,44.879986,-93.313166,1.160893
1030,44.879991,-93.313347,1.149131
1040,44.879992,-93.313546,1.246864
1050,44.879986,-93.313737,1.366782
1060,44.879979,-93.313921,1.284915
1070,44.879978,-93.314086,1.070593
1080,44.879986,-93.314243,1.151321
1090,44.879994,-93.314409,1.235986
1100,44.879999,-93.314557,1.288059
1110,44.879996,-93.314726,1.509691
1120,44.879987,-93.31491,1.446295
1130,44.879986,-93.315078,1.2141
1140,44.879992,-93.315255,1.147074
1150,44.88,-93.315443,1.150304
1160,44.880009,-93.315645,1.241266
1170,44.880018,-93.315807,1.265237
1180,44.880021,-93.315976,1.166594
1190,44.880009,-93.316183,1.266834
1200,44.880008,-93.316367,1.080095
1210,44.880006,-93.316513,0.986466
1220,44.880008,-93.316684,1.076602
1230,44.880005,-93.316882,1.199649
1240,44.880009,-93.317068,1.239001
1250,44.880014,-93.317237,1.195041
1260,44.880023,-93.317418,1.266062
1270,44.880034,-93.317615,1.276787
1280,44.880034,-93.317792,1.287172
1290,44.880035,-93.317957,1.187669
1300,44.88003,-93.318141,1.381048
1310,44.880033,-93.318346,1.374423
1320,44.880037,-93.318516,1.341955
1330,44.88004,-93.318677,1.176504
1340,44.880111,-93.318715,1.159514
1350,44.880215,-93.318692,1.066542
1360,44.880337,-93.318687,1.210862
1370,44.880462,-93.318684,1.277461
1380,44.880575,-93.31869,1.14695
1390,44.880662,-93.318783,1.304909
1400,44.880754,-93.318873,1.242659
1410,44.880876,-93.318911,1.302639
1420,44.880928,-93.319067,1.130048
1430,44.880939,-93.31924,1.333376
1440,44.880962,-93.319415,1.192634
1450,44.880992,-93.319513,0.527294
1460,44.880989,-93.319551,0.808101
1470,44.881058,-93.319589,1.186681
1480,44.88106,-93.319455,0.908571